National Center for Education Statistics,,,,
Student financial aid, selected years,,,
199421,Randolph Community College,State/Local grants,Number receiving,54
199421,Randolph Community College,-,Average amount,1423
199421,Randolph Community College,Institutional grants,Number receiving,34
199421,Randolph Community College,-,Average amount,829
199421,Randolph Community College,Loans,Number receiving,2
199421,Randolph Community College,-,Average amount,6288
199449,Richmond Community College,First-time full-time undergraduates,Total,233
199449,Richmond Community College,Any aid,Number receiving,209
199449,Richmond Community College,Federal grants,Number receiving,189
199449,Richmond Community College,-,Average amount,5293
199449,Richmond Community College,State/Local grants,Number receiving,30
199449,Richmond Community College,-,Average amount,1296
199449,Richmond Community College,Institutional grants,Number receiving,25
199449,Richmond Community College,-,Average amount,906
199449,Richmond Community College,Loans,Number receiving,0
199449,Richmond Community College,-,Average amount,-
199467,Roanoke-Chowan Community College,First-time full-time undergraduates,Total,65
199467,Roanoke-Chowan Community College,Any aid,Number receiving,62
199467,Roanoke-Chowan Community College,Federal grants,Number receiving,60
199467,Roanoke-Chowan Community College,-,Average amount,5891
199467,Roanoke-Chowan Community College,State/Local grants,Number receiving,16
199467,Roanoke-Chowan Community College,-,Average amount,779
199467,Roanoke-Chowan Community College,Institutional grants,Number receiving,2
199467,Roanoke-Chowan Community College,-,Average amount,334
199467,Roanoke-Chowan Community College,Loans,Number receiving,0
199467,Roanoke-Chowan Community College,-,Average amount,-
199476,Robeson Community College,First-time full-time undergraduates,Total,195
199476,Robeson Community College,Any aid,Number receiving,173
199476,Robeson Community College,Federal grants,Number receiving,166
199476,Robeson Community College,-,Average amount,3151
199476,Robeson Community College,State/Local grants,Number receiving,53
199476,Robeson Community College,-,Average amount,421
199476,Robeson Community College,Institutional grants,Number receiving,39
199476,Robeson Community College,-,Average amount,220
199476,Robeson Community College,Loans,Number receiving,0
199476,Robeson Community College,-,Average amount,-
199485,Rockingham Community College,First-time full-time undergraduates,Total,200
199485,Rockingham Community College,Any aid,Number receiving,151
199485,Rockingham Community College,Federal grants,Number receiving,120
199485,Rockingham Community College,-,Average amount,4737
199485,Rockingham Community College,State/Local grants,Number receiving,44
199485,Rockingham Community College,-,Average amount,1348
199485,Rockingham Community College,Institutional grants,Number receiving,46
199485,Rockingham Community College,-,Average amount,1350
199485,Rockingham Community College,Loans,Number receiving,1
199485,Rockingham Community College,-,Average amount,17000
199494,Rowan-Cabarrus Community College,First-time full-time undergraduates,Total,535
199494,Rowan-Cabarrus Community College,Any aid,Number receiving,388
199494,Rowan-Cabarrus Community College,Federal grants,Number receiving,318
199494,Rowan-Cabarrus Community College,-,Average amount,4895
199494,Rowan-Cabarrus Community College,State/Local grants,Number receiving,49
199494,Rowan-Cabarrus Community College,-,Average amount,3707
199494,Rowan-Cabarrus Community College,Institutional grants,Number receiving,44
199494,Rowan-Cabarrus Community College,-,Average amount,2672
199494,Rowan-Cabarrus Community College,Loans,Number receiving,4
199494,Rowan-Cabarrus Community College,-,Average amount,4700
199625,Sampson Community College,First-time full-time undergraduates,Total,165
199625,Sampson Community College,Any aid,Number receiving,104
199625,Sampson Community College,Federal grants,Number receiving,84
199625,Sampson Community College,-,Average amount,4022
199625,Sampson Community College,State/Local grants,Number receiving,28
199625,Sampson Community College,-,Average amount,1136
199625,Sampson Community College,Institutional grants,Number receiving,21
199625,Sampson Community College,-,Average amount,1645
199625,Sampson Community College,Loans,Number receiving,0
199625,Sampson Community College,-,Average amount,-
199634,Sandhills Community College,First-time full-time undergraduates,Total,285
199634,Sandhills Community College,Any aid,Number receiving,211
199634,Sandhills Community College,Federal grants,Number receiving,168
199634,Sandhills Community College,-,Average amount,4255
199634,Sandhills Community College,State/Local grants,Number receiving,56
199634,Sandhills Community College,-,Average amount,1527
199634,Sandhills Community College,Institutional grants,Number receiving,45
199634,Sandhills Community College,-,Average amount,672
199634,Sandhills Community College,Loans,Number receiving,0
199634,Sandhills Community College,-,Average amount,-
199722,Southeastern Community College,First-time full-time undergraduates,Total,228
199722,Southeastern Community College,Any aid,Number receiving,210
199722,Southeastern Community College,Federal grants,Number receiving,149
199722,Southeastern Community College,-,Average amount,4344
199722,Southeastern Community College,State/Local grants,Number receiving,38
199722,Southeastern Community College,-,Average amount,1556
199722,Southeastern Community College,Institutional grants,Number receiving,82
199722,Southeastern Community College,-,Average amount,1360
199722,Southeastern Community College,Loans,Number receiving,0
199722,Southeastern Community College,-,Average amount,-
199731,Southwestern Community College,First-time full-time undergraduates,Total,202
199731,Southwestern Community College,Any aid,Number receiving,172
199731,Southwestern Community College,Federal grants,Number receiving,144
199731,Southwestern Community College,-,Average amount,4906
199731,Southwestern Community College,State/Local grants,Number receiving,44
199731,Southwestern Community College,-,Average amount,1524
199731,Southwestern Community College,Institutional grants,Number receiving,19
199731,Southwestern Community College,-,Average amount,1133
199731,Southwestern Community College,Loans,Number receiving,15
199731,Southwestern Community College,-,Average amount,5039
199740,Stanly Community College,First-time full-time undergraduates,Total,240
199740,Stanly Community College,Any aid,Number receiving,157
199740,Stanly Community College,Federal grants,Number receiving,136
199740,Stanly Community College,-,Average amount,4655
199740,Stanly Community College,State/Local grants,Number receiving,53
199740,Stanly Community College,-,Average amount,1596
199740,Stanly Community College,Institutional grants,Number receiving,27
199740,Stanly Community College,-,Average amount,1480
199740,Stanly Community College,Loans,Number receiving,0
199740,Stanly Community College,-,Average amount,-
199768,Surry Community College,First-time full-time undergraduates,Total,379
199768,Surry Community College,Any aid,Number receiving,272
199768,Surry Community College,Federal grants,Number receiving,183
199768,Surry Community College,-,Average amount,4532
199768,Surry Community College,State/Local grants,Number receiving,93
199768,Surry Community College,-,Average amount,1603
199768,Surry Community College,Institutional grants,Number receiving,21
199768,Surry Community College,-,Average amount,793
199768,Surry Community College,Loans,Number receiving,6
199768,Surry Community College,-,Average amount,5750
199786,Alamance Community College,First-time full-time undergraduates,Total,567
199786,Alamance Community College,Any aid,Number receiving,397
199786,Alamance Community College,Federal grants,Number receiving,316
199786,Alamance Community College,-,Average amount,4905
199786,Alamance Community College,State/Local grants,Number receiving,131
199786,Alamance Community College,-,Average amount,1467
199786,Alamance Community College,Institutional grants,Number receiving,91
199786,Alamance Community College,-,Average amount,1648
199786,Alamance Community College,Loans,Number receiving,5
199786,Alamance Community College,-,Average amount,3740
199795,Tri-County Community College,First-time full-time undergraduates,Total,89
199795,Tri-County Community College,Any aid,Number receiving,80
199795,Tri-County Community College,Federal grants,Number receiving,73
199795,Tri-County Community College,-,Average amount,4945
199795,Tri-County Community College,State/Local grants,Number receiving,24
199795,Tri-County Community College,-,Average amount,1335
199795,Tri-County Community College,Institutional grants,Number receiving,7
199795,Tri-County Community College,-,Average amount,821
199795,Tri-County Community College,Loans,Number receiving,0
199795,Tri-County Community College,-,Average amount,-
199838,Vance-Granville Community College,First-time full-time undergraduates,Total,227
199838,Vance-Granville Community College,Any aid,Number receiving,162
199838,Vance-Granville Community College,Federal grants,Number receiving,139
199838,Vance-Granville Community College,-,Average amount,4904
199838,Vance-Granville Community College,State/Local grants,Number receiving,32
199838,Vance-Granville Community College,-,Average amount,1381
199838,Vance-Granville Community College,Institutional grants,Number receiving,29
199838,Vance-Granville Community College,-,Average amount,742
199838,Vance-Granville Community College,Loans,Number receiving,3
199838,Vance-Granville Community College,-,Average amount,9175
199856,Wake Technical Community College,First-time full-time undergraduates,Total,1626
199856,Wake Technical Community College,Any aid,Number receiving,972
199856,Wake Technical Community College,Federal grants,Number receiving,652
199856,Wake Technical Community College,-,Average amount,4625
199856,Wake Technical Community College,State/Local grants,Number receiving,255
199856,Wake Technical Community College,-,Average amount,1361
199856,Wake Technical Community College,Institutional grants,Number receiving,35
199856,Wake Technical Community College,-,Average amount,644
199856,Wake Technical Community College,Loans,Number receiving,473
199856,Wake Technical Community College,-,Average amount,6001
199892,Wayne Community College,First-time full-time undergraduates,Total,400
199892,Wayne Community College,Any aid,Number receiving,270
199892,Wayne Community College,Federal grants,Number receiving,236
199892,Wayne Community College,-,Average amount,5624
199892,Wayne Community College,State/Local grants,Number receiving,40
199892,Wayne Community College,-,Average amount,2209
199892,Wayne Community College,Institutional grants,Number receiving,1
199892,Wayne Community College,-,Average amount,662
199892,Wayne Community College,Loans,Number receiving,0
199892,Wayne Community College,-,Average amount,-
199908,Western Piedmont Community College,First-time full-time undergraduates,Total,210
199908,Western Piedmont Community College,Any aid,Number receiving,172
199908,Western Piedmont Community College,Federal grants,Number receiving,150
199908,Western Piedmont Community College,-,Average amount,4684
199908,Western Piedmont Community College,State/Local grants,Number receiving,49
199908,Western Piedmont Community College,-,Average amount,1455
199908,Western Piedmont Community College,Institutional grants,Number receiving,22
199908,Western Piedmont Community College,-,Average amount,747
199908,Western Piedmont Community College,Loans,Number receiving,1
199908,Western Piedmont Community College,-,Average amount,5000
199926,Wilkes Community College,First-time full-time undergraduates,Total,289
199926,Wilkes Community College,Any aid,Number receiving,213
199926,Wilkes Community College,Federal grants,Number receiving,169
199926,Wilkes Community College,-,Average amount,4242
199926,Wilkes Community College,State/Local grants,Number receiving,65
199926,Wilkes Community College,-,Average amount,1563
199926,Wilkes Community College,Institutional grants,Number receiving,31
199926,Wilkes Community College,-,Average amount,516
199926,Wilkes Community College,Loans,Number receiving,16
199926,Wilkes Community College,-,Average amount,3546
199953,Wilson Community College,First-time full-time undergraduates,Total,162
199953,Wilson Community College,Any aid,Number receiving,137
199953,Wilson Community College,Federal grants,Number receiving,118
199953,Wilson Community College,-,Average amount,4599
199953,Wilson Community College,State/Local grants,Number receiving,34
199953,Wilson Community College,-,Average amount,1170
199953,Wilson Community College,Institutional grants,Number receiving,24
199953,Wilson Community College,-,Average amount,783
199953,Wilson Community College,Loans,Number receiving,38
199953,Wilson Community College,-,Average amount,3185
199999,Winston-Salem State University,First-time full-time undergraduates,Total,865
199999,Winston-Salem State University,Any aid,Number receiving,833
199999,Winston-Salem State University,Federal grants,Number receiving,667
199999,Winston-Salem State University,-,Average amount,5184
199999,Winston-Salem State University,State/Local grants,Number receiving,609
199999,Winston-Salem State University,-,Average amount,2554
199999,Winston-Salem State University,Institutional grants,Number receiving,523
199999,Winston-Salem State University,-,Average amount,2874
199999,Winston-Salem State University,Loans,Number receiving,743
199999,Winston-Salem State University,-,Average amount,6212
200004,Western Carolina University,First-time full-time undergraduates,Total,1624
200004,Western Carolina University,Any aid,Number receiving,1375
200004,Western Carolina University,Federal grants,Number receiving,647
200004,Western Carolina University,-,Average amount,4530
200004,Western Carolina University,State/Local grants,Number receiving,656
200004,Western Carolina University,-,Average amount,3109
200004,Western Carolina University,Institutional grants,Number receiving,1110
200004,Western Carolina University,-,Average amount,1980
200004,Western Carolina University,Loans,Number receiving,1051
200004,Western Carolina University,-,Average amount,5809
433174,Carolinas College of Health Sciences,First-time full-time undergraduates,Total,4
433174,Carolinas College of Health Sciences,Any aid,Number receiving,3
433174,Carolinas College of Health Sciences,Federal grants,Number receiving,3
433174,Carolinas College of Health Sciences,-,Average amount,5142
433174,Carolinas College of Health Sciences,State/Local grants,Number receiving,2
433174,Carolinas College of Health Sciences,-,Average amount,4500
433174,Carolinas College of Health Sciences,Institutional grants,Number receiving,1
433174,Carolinas College of Health Sciences,-,Average amount,1000
433174,Carolinas College of Health Sciences,Loans,Number receiving,2
433174,Carolinas College of Health Sciences,-,Average amount,23933
