College Name,Blet_NumTest2017,Blet_PCTPassing2017,Blet_PCTPassing2016,Blet_PCTPassing2015,Blet_PCTPassing2014,DetentionOfficer_NumTest2017,DetentionOfficer_PCTPassing2017,DetentionOfficer_PCTPassing2016,DetentionOfficer_PCTPassing2015,DetentionOfficer_PCTPassing2014,EMTBasic_NumTest2017,EMTBasic_PCTPassing2017,EMTBasic_PCTPassing2016,EMTBasic_PCTPassing2015,EMTBasic_PCTPassing2014,EMTIntermediate_NumTest2017,EMTIntermediate_PCTPassing2017,EMTIntermediate_PCTPassing2016,EMTIntermediate_PCTPassing2015,EMTIntermediate_PCTPassing2014,EMTParamedic_NumTest2017,EMTParamedic_PCTPassing2017,EMTParamedic_PCTPassing2016,EMTParamedic_PCTPassing2015,EMTParamedic_PCTPassing2014
Randolph CC,37,84%,92%,87%,80%,18,94%,95% 100% 100%,,,31,77%,72%,68%,65%,6,50%,*,67%,*,11,82%,*,88%,*
Richmond CC,5,60%,60%,50%,58%,17,88%,67%,*,*,20,70%,70%,53%,46%,,*,*,71%,*,,*,*,*,*
Roanoke-Chowan CC,0,*,*,*,*,,*,*,*,*,28,89%,55%,56%,80%,,*,*,56%,*,1,*,40%,*,73%
Robeson CC,28,93%,86%,73%,91%,,*,100% 100% 100%,,,77,56%,33%,49%,68%,,*,44%,29%,17%,12,42%,50%,*,*
Rockingham CC,25,80%,53%,97%,82%,,*,*,*,*,47,51%,86%,63%,51%,,*,*,*,*,,*,20%,85%,*
Rowan-Cabarrus CC,45,80%,75%,81%,84%,37,95%,97%,97%,97%,140,52%,67%,62%,70%,,*,63%,67%,*,27,63%,*,*,77%
Sampson CC,16,38% 100%,,56%,85%,,*,*,*,*,2,*,40%,63%,71%,,*,*,*,*,,*,*,93%,89%
Sandhills CC,26,81%,75%,92%,97%,19,84%,79%,90%,97%,58,78%,81%,91%,80%,,*,*,*,*,15,87% 100% 100% 100%,,,
South Piedmont CC,27,74%,80%,91%,70%,,*,*,*,*,30,73%,70%,62%,69%,,*,*,*,*,7,100%,100% 100%,,88%
Southeastern CC,15,47%,43%,29%,71%,,*,*,*,*,19,79%,70%,50%,75%,,*,*,33%,*,,*,*,100%,*
Southwestern CC,14,100%,100%,100%,80%,23,83% 100% 100% 100%,,,,19,89%,65%,75%,90%,,*,*,*,100%,4,*,100% 100% 100%,,
Stanly CC,56,77%,84%,82%,90%,,*,*,*,*,7,86%,69%,86%,55%,,*,*,*,*,2,*,43%,88%,93%
Surry CC,31,100%,100%,97%,92%,8,100%,88% 100% 100%,,,47,83%,82%,84%,85%,,*,*,*,*,22,95% 100%,,93% 100%,
Tri-County CC,9,89%,*,63%,38%,,*,80% 100%,,*,25,68%,72%,83%,62%,11,9%,*,50%,60%,1,*,*,75%,*
Vance-Granville CC,25,88%,85%,69%,96%,6,100%,71%,*,100%,30,80%,83%,76%,64%,,*,*,*,*,21,67%,57%,83%,73%
Wake TCC,39,95%,95%,90%,91%,65,95%,93%,*,*,87,92%,80%,89%,87%,,*,*,*,*,13,92% 100%,,95% 100%,
Wayne CC,27,93%,93%,95%,92%,18,94%,97%,89% 100%,,57,86%,86%,84%,90%,,*,*,22%,63%,4,*,*,100% 100%,
Western Piedmont CC,34,82%,89%,81%,91%,,*,*,*,*,23,61%,71%,88%,91%,,*,*,*,*,,*,*,86%,93%
Wilkes CC,30,67%,56%,81%,81%,28,86%,96%,97% 100%,,19,47%,56%,86%,76%,6,50%,*,*,*,22,64%,60% 100%,,93%
Wilson CC,24,58%,84%,48%,88%,18,83%,*,89%,80%,13,54%,57%,79%,69%,,*,*,*,*,,*,*,86%,*
