National Center for Education Statistics,,,,,,,,,
Enrollment by student level Fall 2016,,,,,,,,,
UnitId,Institution name,Student level,Full time Men,Full time Women,Full time Total,Part time Men,Part time Women,Part time Total,Grand total
199892,Wayne Community College,-,-,-,-,-,-,-,-
199892,Wayne Community College,All students total,676,788,1464,699,1239,1938,3402
200004,Western Carolina University,Undergraduate total,3611,4260,7871,532,768,1300,9171
200004,Western Carolina University,Graduate ,216,480,696,328,610,938,1634
200004,Western Carolina University,All students total,3827,4740,8567,860,1378,2238,10805
199908,Western Piedmont Community College,Undergraduate total,295,493,788,400,601,1001,1789
199908,Western Piedmont Community College,-,-,-,-,-,-,-,-
199908,Western Piedmont Community College,All students total,295,493,788,400,601,1001,1789
199926,Wilkes Community College,Undergraduate total,562,655,1217,633,759,1392,2609
199926,Wilkes Community College,-,-,-,-,-,-,-,-
199926,Wilkes Community College,All students total,562,655,1217,633,759,1392,2609
199953,Wilson Community College,Undergraduate total,229,366,595,407,849,1256,1851
199953,Wilson Community College,-,-,-,-,-,-,-,-
199953,Wilson Community College,All students total,229,366,595,407,849,1256,1851
199999,Winston-Salem State University,Undergraduate total,1238,2879,4117,124,518,642,4759
199999,Winston-Salem State University,Graduate ,79,200,279,27,86,113,392
199999,Winston-Salem State University,All students total,1317,3079,4396,151,604,755,5151
